image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test01]_origin_0.50.png,14.886,32.230,30.266,32.519,32.572,30.392,30.618,32.157
noiseimage/[test02]_origin_0.50.png,14.815,29.782,28.181,30.046,30.137,28.264,28.531,29.960
noiseimage/[test03]_origin_0.50.png,14.739,29.771,28.422,30.055,30.137,28.502,28.764,30.176
noiseimage/[test04]_origin_0.50.png,14.842,30.508,29.342,30.845,30.921,29.568,29.768,31.154
noiseimage/[test05]_origin_0.50.png,14.926,28.947,27.731,29.220,29.267,27.794,28.002,29.027
noiseimage/[test06]_origin_0.50.png,14.407,25.479,24.610,25.709,25.739,24.630,24.813,25.758
noiseimage/[test07]_origin_0.50.png,14.857,29.632,28.040,29.816,29.901,28.134,28.393,29.851
noiseimage/[test08]_origin_0.50.png,14.926,32.823,31.256,33.099,33.157,31.351,31.614,33.047
noiseimage/[test09]_origin_0.50.png,14.723,25.548,24.810,25.786,25.810,24.845,25.065,26.053
noiseimage/[test10]_origin_0.50.png,13.916,23.329,22.255,23.518,23.551,22.291,22.547,23.492
noiseimage/[test11]_origin_0.50.png,15.502,32.538,31.342,32.800,32.854,31.534,31.708,32.904
noiseimage/[test12]_origin_0.50.png,13.955,25.882,24.187,26.156,26.191,24.226,24.474,25.921
noiseimage/[test13]_origin_0.50.png,14.511,29.898,28.851,30.213,30.296,28.964,29.184,30.247
noiseimage/[test14]_origin_0.50.png,15.001,30.478,28.835,30.702,30.656,28.871,29.141,30.711
noiseimage/[test15]_origin_0.50.png,14.207,24.418,23.114,24.690,24.688,23.127,23.435,24.540
noiseimage/[test16]_origin_0.50.png,15.390,27.632,26.544,27.862,27.872,26.612,26.747,27.606
noiseimage/[test17]_origin_0.50.png,15.268,30.111,28.169,30.414,30.483,28.324,28.663,30.415
noiseimage/[test18]_origin_0.50.png,15.298,34.378,32.517,34.647,34.714,32.646,32.879,34.514
noiseimage/[test19]_origin_0.50.png,14.299,26.696,24.877,27.024,27.022,24.930,25.254,26.829
noiseimage/[test20]_origin_0.50.png,15.202,29.361,27.190,29.661,29.710,27.293,27.641,29.478
noiseimage/[test21]_origin_0.50.png,15.067,29.327,27.653,29.656,29.590,27.772,28.017,29.323
noiseimage/[test22]_origin_0.50.png,14.795,26.268,24.820,26.554,26.542,24.866,25.128,26.441
noiseimage/[test23]_origin_0.50.png,14.983,31.481,30.541,31.667,31.751,30.732,30.923,31.860
noiseimage/[test24]_origin_0.50.png,14.922,27.639,26.303,27.913,27.939,26.354,26.612,27.995
noiseimage/[test25]_origin_0.50.png,14.445,33.543,32.918,33.803,33.868,32.928,33.050,33.846
noiseimage/[test26]_origin_0.50.png,13.750,22.927,21.379,23.183,23.208,21.435,21.710,22.878
noiseimage/[test27]_origin_0.50.png,14.738,28.781,26.559,29.067,29.115,26.627,26.960,28.846
noiseimage/[test28]_origin_0.50.png,14.219,24.086,23.370,24.421,24.482,23.428,23.642,24.409
noiseimage/[test29]_origin_0.50.png,15.284,31.327,30.261,31.542,31.536,30.313,30.499,31.644
noiseimage/[test30]_origin_0.50.png,14.799,26.265,24.110,26.569,26.576,24.160,24.556,26.273
noiseimage/[test31]_origin_0.50.png,15.448,28.688,27.103,28.979,28.915,27.216,27.428,28.853
noiseimage/[test32]_origin_0.50.png,14.235,27.293,26.045,27.573,27.572,26.103,26.372,27.484
noiseimage/[test33]_origin_0.50.png,14.152,31.348,30.505,31.713,31.785,30.717,30.895,32.165
noiseimage/[test34]_origin_0.50.png,14.419,26.745,25.629,27.003,27.035,25.667,25.929,27.068
noiseimage/[test35]_origin_0.50.png,13.933,32.976,31.228,33.214,33.222,31.401,31.713,33.796
noiseimage/[test36]_origin_0.50.png,15.154,31.137,29.996,31.404,31.498,30.119,30.340,31.551
noiseimage/[test37]_origin_0.50.png,15.445,32.051,30.589,32.247,32.280,30.740,31.000,32.294
noiseimage/[test38]_origin_0.50.png,15.258,37.193,34.858,37.474,37.457,35.220,35.559,38.237
noiseimage/[test39]_origin_0.50.png,14.291,26.954,25.581,27.162,27.143,25.616,25.890,27.107
noiseimage/[test40]_origin_0.50.png,14.538,25.213,24.350,25.504,25.518,24.482,24.717,25.704
noiseimage/[test41]_origin_0.50.png,14.733,31.165,29.697,31.386,31.372,29.748,30.016,31.490
noiseimage/[test42]_origin_0.50.png,14.605,26.424,26.182,26.624,26.602,26.254,26.367,26.608
noiseimage/[test43]_origin_0.50.png,14.673,26.612,25.833,26.794,26.815,25.865,26.075,26.919
noiseimage/[test44]_origin_0.50.png,14.247,32.183,30.360,32.459,32.569,30.483,30.839,32.629
noiseimage/[test45]_origin_0.50.png,15.215,30.010,28.597,30.321,30.406,28.716,29.011,30.270
noiseimage/[test46]_origin_0.50.png,13.037,21.084,20.942,21.244,21.295,20.952,21.109,21.518
noiseimage/[test47]_origin_0.50.png,13.954,23.400,22.267,23.688,23.719,22.313,22.602,23.709
noiseimage/[test48]_origin_0.50.png,14.548,26.589,25.249,26.929,26.980,25.298,25.614,26.766
noiseimage/[test49]_origin_0.50.png,14.906,32.075,31.202,32.230,32.322,31.283,31.475,32.575
noiseimage/[test50]_origin_0.50.png,15.618,33.372,32.651,33.552,33.612,32.731,32.863,33.662
noiseimage/[test51]_origin_0.50.png,15.555,33.693,32.688,33.929,33.965,32.806,32.978,34.020
noiseimage/[test52]_origin_0.50.png,15.276,37.360,36.209,37.560,37.665,36.284,36.510,37.783
