image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test01]_origin_0.80.png,7.939,27.276,27.630,27.337,27.396,27.670,27.764,28.214
noiseimage/[test02]_origin_0.80.png,7.784,25.065,25.433,25.144,25.189,25.467,25.589,26.213
noiseimage/[test03]_origin_0.80.png,7.693,24.933,25.335,25.008,25.044,25.343,25.463,25.998
noiseimage/[test04]_origin_0.80.png,7.821,25.848,26.543,26.012,26.023,26.716,26.826,27.276
noiseimage/[test05]_origin_0.80.png,8.059,24.731,25.096,24.831,24.968,25.097,25.184,25.483
noiseimage/[test06]_origin_0.80.png,7.958,21.858,22.207,21.925,21.966,22.210,22.292,22.552
noiseimage/[test07]_origin_0.80.png,7.703,24.734,25.032,24.751,24.790,25.052,25.178,25.710
noiseimage/[test08]_origin_0.80.png,7.557,27.646,27.955,27.686,27.783,27.949,28.055,28.590
noiseimage/[test09]_origin_0.80.png,8.144,22.203,22.663,22.275,22.297,22.674,22.759,23.064
noiseimage/[test10]_origin_0.80.png,7.659,19.375,19.818,19.407,19.448,19.835,19.937,20.193
noiseimage/[test11]_origin_0.80.png,8.342,28.543,28.745,28.636,28.768,28.816,28.921,29.477
noiseimage/[test12]_origin_0.80.png,7.488,22.096,22.063,22.168,22.200,22.086,22.194,22.721
noiseimage/[test13]_origin_0.80.png,7.855,25.867,26.204,25.974,26.104,26.233,26.337,26.794
noiseimage/[test14]_origin_0.80.png,7.989,25.337,25.556,25.382,25.450,25.524,25.627,26.141
noiseimage/[test15]_origin_0.80.png,7.972,20.193,20.435,20.269,20.294,20.427,20.528,20.888
noiseimage/[test16]_origin_0.80.png,8.472,24.397,24.664,24.517,24.623,24.693,24.754,24.944
noiseimage/[test17]_origin_0.80.png,8.398,24.897,25.061,24.979,25.005,25.100,25.254,26.011
noiseimage/[test18]_origin_0.80.png,7.887,29.579,29.765,29.664,29.751,29.775,29.901,30.562
noiseimage/[test19]_origin_0.80.png,7.453,22.007,22.200,22.110,22.155,22.233,22.348,22.843
noiseimage/[test20]_origin_0.80.png,8.072,24.499,24.520,24.564,24.604,24.561,24.715,25.426
noiseimage/[test21]_origin_0.80.png,8.101,24.995,25.090,25.099,25.212,25.147,25.239,25.669
noiseimage/[test22]_origin_0.80.png,8.010,22.266,22.432,22.354,22.382,22.459,22.550,22.922
noiseimage/[test23]_origin_0.80.png,7.800,26.964,27.501,27.004,27.070,27.565,27.671,28.057
noiseimage/[test24]_origin_0.80.png,8.144,23.395,23.698,23.494,23.523,23.716,23.815,24.227
noiseimage/[test25]_origin_0.80.png,7.267,29.692,30.219,29.781,29.901,30.205,30.273,30.525
noiseimage/[test26]_origin_0.80.png,7.619,18.813,19.069,18.853,18.884,19.101,19.201,19.466
noiseimage/[test27]_origin_0.80.png,7.486,23.984,23.913,24.094,24.130,23.951,24.097,24.868
noiseimage/[test28]_origin_0.80.png,7.688,20.136,20.757,20.253,20.298,20.787,20.868,21.066
noiseimage/[test29]_origin_0.80.png,8.081,26.949,27.445,27.020,27.126,27.436,27.535,27.953
noiseimage/[test30]_origin_0.80.png,8.204,21.832,21.668,21.930,21.952,21.686,21.833,22.499
noiseimage/[test31]_origin_0.80.png,8.439,24.620,24.746,24.696,24.815,24.809,24.891,25.271
noiseimage/[test32]_origin_0.80.png,7.420,22.871,23.271,22.929,22.974,23.286,23.392,23.747
noiseimage/[test33]_origin_0.80.png,6.952,26.890,27.675,26.971,26.959,27.812,27.917,28.316
noiseimage/[test34]_origin_0.80.png,7.742,22.627,23.063,22.700,22.736,23.094,23.208,23.618
noiseimage/[test35]_origin_0.80.png,6.906,27.012,27.846,27.068,27.085,27.947,28.107,28.820
noiseimage/[test36]_origin_0.80.png,8.111,26.397,26.829,26.474,26.562,26.887,27.007,27.461
noiseimage/[test37]_origin_0.80.png,8.359,27.053,27.489,27.086,27.148,27.548,27.676,28.177
noiseimage/[test38]_origin_0.80.png,8.155,31.072,31.509,31.151,31.163,31.655,31.856,33.077
noiseimage/[test39]_origin_0.80.png,7.632,22.812,22.930,22.848,22.876,22.927,23.053,23.616
noiseimage/[test40]_origin_0.80.png,7.717,21.469,21.913,21.508,21.554,21.941,22.030,22.328
noiseimage/[test41]_origin_0.80.png,7.588,26.539,26.790,26.627,26.657,26.808,26.936,27.581
noiseimage/[test42]_origin_0.80.png,7.875,22.750,23.683,22.748,22.798,23.722,23.743,23.529
noiseimage/[test43]_origin_0.80.png,7.912,22.681,23.185,22.724,22.795,23.190,23.274,23.554
noiseimage/[test44]_origin_0.80.png,7.009,26.993,27.194,27.082,27.178,27.231,27.389,28.243
noiseimage/[test45]_origin_0.80.png,8.157,25.453,25.775,25.558,25.666,25.807,25.931,26.459
noiseimage/[test46]_origin_0.80.png,7.347,17.514,18.336,17.553,17.588,18.355,18.407,18.442
noiseimage/[test47]_origin_0.80.png,7.627,19.389,19.749,19.490,19.520,19.771,19.872,20.240
noiseimage/[test48]_origin_0.80.png,7.924,22.275,22.517,22.402,22.466,22.546,22.665,23.120
noiseimage/[test49]_origin_0.80.png,7.816,27.477,28.300,27.517,27.626,28.335,28.442,28.785
noiseimage/[test50]_origin_0.80.png,8.510,29.403,30.002,29.441,29.740,29.971,30.031,30.325
noiseimage/[test51]_origin_0.80.png,8.409,29.396,29.865,29.457,29.681,29.828,29.917,30.405
noiseimage/[test52]_origin_0.80.png,8.025,32.416,33.093,32.485,32.812,33.025,33.142,33.788
