image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test01]_origin_0.90.png,6.487,24.892,25.959,24.892,24.944,26.008,26.036,25.906
noiseimage/[test02]_origin_0.90.png,6.327,22.156,23.370,22.118,22.143,23.398,23.433,23.259
noiseimage/[test03]_origin_0.90.png,6.320,22.296,23.463,22.305,22.324,23.520,23.560,23.430
noiseimage/[test04]_origin_0.90.png,6.202,22.422,23.696,22.392,22.383,23.708,23.721,23.465
noiseimage/[test05]_origin_0.90.png,6.716,22.646,23.515,22.672,22.768,23.516,23.533,23.360
noiseimage/[test06]_origin_0.90.png,6.594,20.142,21.162,20.155,20.180,21.182,21.205,21.018
noiseimage/[test07]_origin_0.90.png,6.276,22.368,23.378,22.324,22.340,23.378,23.422,23.329
noiseimage/[test08]_origin_0.90.png,6.073,26.096,26.928,26.095,26.179,26.927,26.985,27.154
noiseimage/[test09]_origin_0.90.png,6.635,20.067,21.238,20.052,20.063,21.235,21.243,20.983
noiseimage/[test10]_origin_0.90.png,6.381,17.353,18.359,17.317,17.343,18.376,18.397,18.176
noiseimage/[test11]_origin_0.90.png,6.778,25.472,26.710,25.467,25.531,26.724,26.742,26.508
noiseimage/[test12]_origin_0.90.png,5.949,19.441,20.545,19.427,19.450,20.558,20.569,20.334
noiseimage/[test13]_origin_0.90.png,6.322,23.595,24.676,23.620,23.705,24.730,24.760,24.611
noiseimage/[test14]_origin_0.90.png,6.589,23.009,23.989,22.974,23.016,23.963,23.994,23.910
noiseimage/[test15]_origin_0.90.png,6.694,18.321,19.206,18.285,18.306,19.202,19.220,19.043
noiseimage/[test16]_origin_0.90.png,6.993,23.035,23.783,23.031,23.111,23.786,23.805,23.678
noiseimage/[test17]_origin_0.90.png,6.854,22.571,23.598,22.577,22.608,23.680,23.746,23.814
noiseimage/[test18]_origin_0.90.png,6.367,27.021,28.156,26.988,27.055,28.165,28.201,28.102
noiseimage/[test19]_origin_0.90.png,5.992,19.939,20.879,19.956,19.990,20.904,20.939,20.844
noiseimage/[test20]_origin_0.90.png,6.619,22.037,22.943,22.016,22.041,22.977,23.028,23.014
noiseimage/[test21]_origin_0.90.png,6.672,23.018,23.895,23.038,23.145,23.930,23.953,23.813
noiseimage/[test22]_origin_0.90.png,6.589,20.355,21.279,20.383,20.409,21.299,21.316,21.153
noiseimage/[test23]_origin_0.90.png,6.243,24.438,25.643,24.372,24.414,25.672,25.701,25.497
noiseimage/[test24]_origin_0.90.png,6.545,21.214,22.239,21.222,21.243,22.257,22.278,22.100
noiseimage/[test25]_origin_0.90.png,5.710,28.053,29.024,28.018,28.120,29.011,29.034,28.873
noiseimage/[test26]_origin_0.90.png,6.254,16.956,17.865,16.919,16.939,17.881,17.904,17.695
noiseimage/[test27]_origin_0.90.png,6.029,21.698,22.379,21.703,21.723,22.416,22.464,22.559
noiseimage/[test28]_origin_0.90.png,6.366,18.471,19.570,18.503,18.531,19.600,19.616,19.401
noiseimage/[test29]_origin_0.90.png,6.596,24.730,25.810,24.702,24.785,25.820,25.850,25.703
noiseimage/[test30]_origin_0.90.png,6.689,19.488,20.233,19.490,19.508,20.246,20.288,20.278
noiseimage/[test31]_origin_0.90.png,6.982,22.931,23.624,22.916,23.016,23.646,23.671,23.584
noiseimage/[test32]_origin_0.90.png,5.968,20.783,21.803,20.742,20.772,21.812,21.838,21.677
noiseimage/[test33]_origin_0.90.png,5.407,24.638,26.164,24.626,24.620,26.290,26.319,26.056
noiseimage/[test34]_origin_0.90.png,6.236,20.560,21.668,20.542,20.564,21.699,21.729,21.589
noiseimage/[test35]_origin_0.90.png,5.536,23.995,25.603,23.924,23.937,25.679,25.727,25.597
noiseimage/[test36]_origin_0.90.png,6.603,24.131,25.345,24.128,24.180,25.397,25.438,25.296
noiseimage/[test37]_origin_0.90.png,6.789,24.724,25.879,24.672,24.732,25.939,25.988,25.901
noiseimage/[test38]_origin_0.90.png,6.752,28.099,29.438,28.035,28.066,29.551,29.641,29.802
noiseimage/[test39]_origin_0.90.png,6.184,20.642,21.489,20.597,20.619,21.494,21.538,21.523
noiseimage/[test40]_origin_0.90.png,6.248,19.508,20.407,19.494,19.524,20.445,20.469,20.352
noiseimage/[test41]_origin_0.90.png,6.043,24.101,25.151,24.090,24.115,25.172,25.217,25.176
noiseimage/[test42]_origin_0.90.png,6.464,21.149,22.571,21.056,21.095,22.603,22.582,22.075
noiseimage/[test43]_origin_0.90.png,6.456,20.815,21.851,20.787,20.841,21.875,21.897,21.715
noiseimage/[test44]_origin_0.90.png,5.559,24.178,25.300,24.188,24.252,25.359,25.415,25.428
noiseimage/[test45]_origin_0.90.png,6.711,23.290,24.282,23.315,23.389,24.317,24.355,24.292
noiseimage/[test46]_origin_0.90.png,5.929,16.117,17.218,16.104,16.123,17.235,17.242,16.986
noiseimage/[test47]_origin_0.90.png,6.198,17.649,18.582,17.679,17.697,18.603,18.632,18.550
noiseimage/[test48]_origin_0.90.png,6.457,20.249,21.179,20.288,20.337,21.216,21.247,21.140
noiseimage/[test49]_origin_0.90.png,6.322,25.159,26.569,25.117,25.190,26.617,26.650,26.428
noiseimage/[test50]_origin_0.90.png,7.022,27.549,28.641,27.508,27.750,28.642,28.659,28.462
noiseimage/[test51]_origin_0.90.png,6.920,27.291,28.374,27.257,27.435,28.360,28.391,28.312
noiseimage/[test52]_origin_0.90.png,6.494,29.921,31.421,29.885,30.140,31.389,31.429,31.329
