image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test01]_origin_0.30.png,22.562,35.662,33.202,36.012,36.102,33.426,33.778,35.475
noiseimage/[test02]_origin_0.30.png,21.955,33.038,31.299,33.415,33.640,31.548,31.927,33.160
noiseimage/[test03]_origin_0.30.png,22.581,32.799,31.013,33.166,33.367,31.209,31.565,32.862
noiseimage/[test04]_origin_0.30.png,22.268,34.242,32.090,34.748,34.947,32.433,32.748,34.658
noiseimage/[test05]_origin_0.30.png,22.410,31.300,29.961,31.679,31.701,30.070,30.373,31.338
noiseimage/[test06]_origin_0.30.png,21.171,27.965,26.628,28.267,28.293,26.657,26.959,28.011
noiseimage/[test07]_origin_0.30.png,22.204,32.921,30.632,33.135,33.252,30.766,31.145,32.854
noiseimage/[test08]_origin_0.30.png,23.127,35.880,33.644,36.238,36.201,33.813,34.179,35.793
noiseimage/[test09]_origin_0.30.png,21.683,27.406,26.599,27.687,27.692,26.663,26.969,27.890
noiseimage/[test10]_origin_0.30.png,19.251,26.327,24.714,26.647,26.722,24.790,25.274,26.367
noiseimage/[test11]_origin_0.30.png,23.240,35.858,33.927,36.250,36.383,34.262,34.497,35.938
noiseimage/[test12]_origin_0.30.png,20.332,28.623,26.233,28.976,29.063,26.311,26.695,28.437
noiseimage/[test13]_origin_0.30.png,22.870,32.936,31.527,33.376,33.489,31.750,32.089,32.994
noiseimage/[test14]_origin_0.30.png,22.980,33.586,31.259,33.885,33.861,31.329,31.765,33.568
noiseimage/[test15]_origin_0.30.png,19.870,26.701,24.861,27.031,27.029,24.905,25.457,26.648
noiseimage/[test16]_origin_0.30.png,22.453,29.580,28.107,29.885,29.860,28.198,28.406,29.438
noiseimage/[test17]_origin_0.30.png,22.884,33.015,30.521,33.403,33.599,30.766,31.243,33.020
noiseimage/[test18]_origin_0.30.png,24.011,37.339,34.827,37.719,37.802,35.027,35.337,37.181
noiseimage/[test19]_origin_0.30.png,21.350,29.157,26.975,29.582,29.596,27.059,27.593,29.273
noiseimage/[test20]_origin_0.30.png,22.722,32.398,29.489,32.777,32.863,29.641,30.192,32.291
noiseimage/[test21]_origin_0.30.png,22.819,32.159,30.117,32.585,32.472,30.273,30.713,32.035
noiseimage/[test22]_origin_0.30.png,21.715,28.757,26.676,29.134,29.119,26.753,27.212,28.812
noiseimage/[test23]_origin_0.30.png,22.920,34.481,33.212,34.737,34.855,33.508,33.747,34.658
noiseimage/[test24]_origin_0.30.png,22.108,30.360,28.531,30.757,30.818,28.647,29.047,30.628
noiseimage/[test25]_origin_0.30.png,22.891,36.303,35.334,36.638,36.706,35.389,35.548,36.387
noiseimage/[test26]_origin_0.30.png,19.065,25.837,23.597,26.173,26.195,23.669,24.168,25.641
noiseimage/[test27]_origin_0.30.png,22.156,31.691,28.872,32.123,32.219,28.981,29.491,31.623
noiseimage/[test28]_origin_0.30.png,19.787,27.012,26.029,27.487,27.578,26.127,26.459,27.148
noiseimage/[test29]_origin_0.30.png,23.459,34.120,32.621,34.377,34.367,32.738,33.010,34.166
noiseimage/[test30]_origin_0.30.png,21.293,29.250,26.306,29.675,29.694,26.392,27.142,29.050
noiseimage/[test31]_origin_0.30.png,23.123,31.128,28.989,31.512,31.367,29.113,29.486,31.275
noiseimage/[test32]_origin_0.30.png,21.454,30.293,28.493,30.683,30.684,28.608,29.097,30.258
noiseimage/[test33]_origin_0.30.png,22.613,34.362,32.839,34.867,34.975,33.135,33.328,34.838
noiseimage/[test34]_origin_0.30.png,21.061,29.821,28.168,30.168,30.199,28.235,28.660,29.874
noiseimage/[test35]_origin_0.30.png,22.953,36.550,33.931,36.850,36.940,34.145,34.599,36.790
noiseimage/[test36]_origin_0.30.png,23.333,33.746,32.323,34.050,34.176,32.501,32.777,33.845
noiseimage/[test37]_origin_0.30.png,23.213,34.931,33.130,35.206,35.260,33.380,33.760,34.992
noiseimage/[test38]_origin_0.30.png,24.128,41.363,37.610,41.744,41.826,38.152,38.590,41.656
noiseimage/[test39]_origin_0.30.png,21.470,29.301,27.736,29.540,29.527,27.808,28.198,29.260
noiseimage/[test40]_origin_0.30.png,21.370,27.745,26.420,28.171,28.168,26.618,27.043,28.216
noiseimage/[test41]_origin_0.30.png,22.861,34.676,32.507,34.997,35.006,32.649,33.073,34.706
noiseimage/[test42]_origin_0.30.png,20.904,29.202,28.637,29.466,29.395,28.676,28.889,29.191
noiseimage/[test43]_origin_0.30.png,21.294,29.198,28.036,29.441,29.443,28.115,28.448,29.294
noiseimage/[test44]_origin_0.30.png,22.559,35.487,33.172,35.854,36.048,33.439,33.962,35.567
noiseimage/[test45]_origin_0.30.png,22.886,33.068,31.276,33.495,33.645,31.490,31.968,33.113
noiseimage/[test46]_origin_0.30.png,17.375,23.797,23.350,24.005,24.056,23.363,23.604,23.975
noiseimage/[test47]_origin_0.30.png,19.688,25.667,24.203,26.001,26.035,24.260,24.739,25.816
noiseimage/[test48]_origin_0.30.png,21.087,29.495,28.011,29.962,30.013,28.070,28.570,29.476
noiseimage/[test49]_origin_0.30.png,23.531,35.199,33.826,35.403,35.492,33.988,34.247,35.396
noiseimage/[test50]_origin_0.30.png,24.144,36.302,35.179,36.552,36.491,35.353,35.559,36.357
noiseimage/[test51]_origin_0.30.png,23.882,36.553,35.153,36.856,36.789,35.399,35.641,36.613
noiseimage/[test52]_origin_0.30.png,24.189,40.585,39.085,40.869,40.882,39.324,39.641,40.700
