image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test01]_origin_0.60.png,12.158,30.851,29.491,31.018,31.068,29.583,29.782,31.099
noiseimage/[test02]_origin_0.60.png,11.780,28.320,27.378,28.513,28.557,27.431,27.662,28.949
noiseimage/[test03]_origin_0.60.png,11.889,28.420,27.414,28.614,28.686,27.463,27.693,28.950
noiseimage/[test04]_origin_0.60.png,12.094,29.268,28.528,29.523,29.542,28.701,28.904,30.150
noiseimage/[test05]_origin_0.60.png,12.157,27.468,26.892,27.703,27.813,26.937,27.100,27.900
noiseimage/[test06]_origin_0.60.png,11.793,24.642,23.953,24.830,24.878,23.961,24.127,25.024
noiseimage/[test07]_origin_0.60.png,11.964,27.965,26.990,28.071,28.104,27.024,27.235,28.415
noiseimage/[test08]_origin_0.60.png,11.589,31.510,30.386,31.704,31.760,30.456,30.661,31.945
noiseimage/[test09]_origin_0.60.png,11.884,24.380,24.011,24.561,24.569,24.011,24.177,24.984
noiseimage/[test10]_origin_0.60.png,11.306,22.095,21.329,22.274,22.330,21.358,21.560,22.428
noiseimage/[test11]_origin_0.60.png,12.446,31.307,30.380,31.519,31.605,30.500,30.654,31.810
noiseimage/[test12]_origin_0.60.png,11.446,24.832,23.493,25.076,25.119,23.545,23.749,24.994
noiseimage/[test13]_origin_0.60.png,11.759,28.530,27.902,28.776,28.874,27.997,28.165,29.045
noiseimage/[test14]_origin_0.60.png,12.261,29.080,27.877,29.271,29.255,27.895,28.106,29.535
noiseimage/[test15]_origin_0.60.png,12.037,22.899,22.031,23.096,23.112,22.044,22.272,23.187
noiseimage/[test16]_origin_0.60.png,12.279,26.899,26.110,27.099,27.153,26.161,26.283,27.038
noiseimage/[test17]_origin_0.60.png,12.413,28.348,27.072,28.614,28.662,27.171,27.457,29.031
noiseimage/[test18]_origin_0.60.png,12.261,32.817,31.502,33.021,33.081,31.579,31.781,33.203
noiseimage/[test19]_origin_0.60.png,11.408,24.960,23.851,25.209,25.222,23.891,24.134,25.396
noiseimage/[test20]_origin_0.60.png,12.230,28.075,26.381,28.293,28.326,26.452,26.751,28.401
noiseimage/[test21]_origin_0.60.png,12.159,28.020,26.758,28.280,28.268,26.854,27.050,28.184
noiseimage/[test22]_origin_0.60.png,12.003,25.138,24.116,25.365,25.374,24.159,24.363,25.453
noiseimage/[test23]_origin_0.60.png,11.863,30.143,29.651,30.299,30.375,29.795,29.972,30.859
noiseimage/[test24]_origin_0.60.png,12.241,26.323,25.468,26.563,26.593,25.506,25.718,26.874
noiseimage/[test25]_origin_0.60.png,11.445,32.152,31.854,32.340,32.411,31.842,31.949,32.634
noiseimage/[test26]_origin_0.60.png,11.439,21.704,20.593,21.891,21.912,20.634,20.855,21.828
noiseimage/[test27]_origin_0.60.png,11.576,27.395,25.800,27.616,27.649,25.851,26.117,27.739
noiseimage/[test28]_origin_0.60.png,11.693,22.972,22.550,23.256,23.306,22.592,22.767,23.489
noiseimage/[test29]_origin_0.60.png,12.227,29.806,29.224,29.965,30.007,29.250,29.405,30.298
noiseimage/[test30]_origin_0.60.png,12.136,25.022,23.362,25.270,25.287,23.398,23.705,25.212
noiseimage/[test31]_origin_0.60.png,12.543,27.372,26.313,27.601,27.599,26.413,26.583,27.696
noiseimage/[test32]_origin_0.60.png,11.571,25.978,25.107,26.204,26.220,25.148,25.367,26.351
noiseimage/[test33]_origin_0.60.png,11.238,30.163,29.626,30.439,30.462,29.810,29.981,31.109
noiseimage/[test34]_origin_0.60.png,11.709,25.254,24.719,25.457,25.489,24.749,24.940,25.844
noiseimage/[test35]_origin_0.60.png,11.399,31.224,30.190,31.401,31.428,30.344,30.624,32.391
noiseimage/[test36]_origin_0.60.png,12.406,29.568,28.825,29.772,29.860,28.902,29.090,30.201
noiseimage/[test37]_origin_0.60.png,12.304,30.532,29.551,30.721,30.779,29.669,29.900,31.163
noiseimage/[test38]_origin_0.60.png,12.288,35.337,33.787,35.556,35.529,34.050,34.372,36.849
noiseimage/[test39]_origin_0.60.png,11.700,25.750,24.686,25.922,25.920,24.705,24.934,26.078
noiseimage/[test40]_origin_0.60.png,11.751,24.223,23.683,24.429,24.461,23.771,23.963,24.836
noiseimage/[test41]_origin_0.60.png,11.805,29.803,28.790,29.993,29.989,28.818,29.046,30.408
noiseimage/[test42]_origin_0.60.png,11.956,25.114,25.266,25.258,25.266,25.337,25.411,25.496
noiseimage/[test43]_origin_0.60.png,11.976,25.411,24.910,25.554,25.594,24.924,25.096,25.864
noiseimage/[test44]_origin_0.60.png,11.225,30.489,29.299,30.711,30.819,29.380,29.664,31.311
noiseimage/[test45]_origin_0.60.png,12.359,28.630,27.666,28.861,28.952,27.738,27.972,29.111
noiseimage/[test46]_origin_0.60.png,10.889,19.906,20.039,20.025,20.072,20.049,20.170,20.522
noiseimage/[test47]_origin_0.60.png,11.469,22.107,21.390,22.330,22.361,21.422,21.639,22.593
noiseimage/[test48]_origin_0.60.png,11.964,25.142,24.262,25.404,25.451,24.293,24.532,25.548
noiseimage/[test49]_origin_0.60.png,12.084,30.642,30.267,30.773,30.872,30.326,30.493,31.440
noiseimage/[test50]_origin_0.60.png,12.717,32.132,31.792,32.276,32.443,31.822,31.934,32.658
noiseimage/[test51]_origin_0.60.png,12.665,32.332,31.753,32.509,32.631,31.800,31.943,32.895
noiseimage/[test52]_origin_0.60.png,12.310,35.693,35.141,35.865,36.054,35.152,35.343,36.542
