image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test01]_origin_0.20.png,27.773,37.027,34.772,37.480,37.542,34.994,35.369,36.968
noiseimage/[test02]_origin_0.20.png,26.541,34.802,32.963,35.161,35.413,33.225,33.663,34.869
noiseimage/[test03]_origin_0.20.png,26.307,34.756,32.895,35.138,35.359,33.128,33.552,34.813
noiseimage/[test04]_origin_0.20.png,29.550,34.651,33.024,35.165,35.371,33.393,33.672,35.250
noiseimage/[test05]_origin_0.20.png,26.380,33.610,32.305,34.055,34.054,32.389,32.792,33.652
noiseimage/[test06]_origin_0.20.png,23.903,28.617,27.468,28.878,28.883,27.506,27.834,28.749
noiseimage/[test07]_origin_0.20.png,27.211,34.957,32.901,35.238,35.450,33.139,33.583,34.927
noiseimage/[test08]_origin_0.20.png,29.015,37.636,35.721,37.993,38.051,35.956,36.382,37.674
noiseimage/[test09]_origin_0.20.png,24.985,28.816,28.026,29.104,29.139,28.115,28.490,29.371
noiseimage/[test10]_origin_0.20.png,21.045,27.809,26.081,28.157,28.246,26.169,26.821,27.747
noiseimage/[test11]_origin_0.20.png,28.036,38.362,36.079,38.742,38.916,36.460,36.775,38.272
noiseimage/[test12]_origin_0.20.png,23.987,30.062,27.553,30.473,30.549,27.622,28.186,29.947
noiseimage/[test13]_origin_0.20.png,26.059,34.694,33.364,35.158,35.348,33.654,34.080,34.756
noiseimage/[test14]_origin_0.20.png,27.555,35.593,33.298,35.914,35.890,33.410,33.967,35.518
noiseimage/[test15]_origin_0.20.png,22.673,28.579,26.672,28.957,28.964,26.740,27.557,28.535
noiseimage/[test16]_origin_0.20.png,26.158,30.894,29.432,31.206,31.161,29.501,29.761,30.821
noiseimage/[test17]_origin_0.20.png,27.081,35.380,32.758,35.823,36.097,33.075,33.682,35.310
noiseimage/[test18]_origin_0.20.png,29.828,39.470,36.881,39.901,40.053,37.121,37.504,39.344
noiseimage/[test19]_origin_0.20.png,24.517,30.732,28.615,31.177,31.207,28.724,29.449,31.016
noiseimage/[test20]_origin_0.20.png,27.010,33.803,30.974,34.165,34.297,31.132,31.880,33.764
noiseimage/[test21]_origin_0.20.png,26.414,33.895,31.939,34.346,34.271,32.078,32.675,33.805
noiseimage/[test22]_origin_0.20.png,25.160,30.220,27.989,30.586,30.597,28.073,28.687,30.336
noiseimage/[test23]_origin_0.20.png,28.094,36.211,34.931,36.478,36.625,35.258,35.534,36.299
noiseimage/[test24]_origin_0.20.png,26.100,31.870,30.084,32.281,32.350,30.228,30.736,32.163
noiseimage/[test25]_origin_0.20.png,29.035,38.240,37.317,38.564,38.661,37.407,37.596,38.301
noiseimage/[test26]_origin_0.20.png,21.216,27.395,25.116,27.758,27.788,25.201,25.874,27.278
noiseimage/[test27]_origin_0.20.png,26.355,33.366,30.324,33.824,33.963,30.450,31.164,33.268
noiseimage/[test28]_origin_0.20.png,21.798,28.913,27.984,29.420,29.526,28.110,28.511,28.994
noiseimage/[test29]_origin_0.20.png,27.952,36.227,34.688,36.521,36.509,34.859,35.210,36.282
noiseimage/[test30]_origin_0.20.png,24.468,30.856,27.830,31.302,31.342,27.932,29.005,30.739
noiseimage/[test31]_origin_0.20.png,27.101,32.849,30.407,33.239,33.090,30.521,31.050,33.032
noiseimage/[test32]_origin_0.20.png,24.625,32.222,30.405,32.641,32.676,30.530,31.212,32.194
noiseimage/[test33]_origin_0.20.png,27.730,36.500,34.806,37.002,37.130,35.121,35.308,36.700
noiseimage/[test34]_origin_0.20.png,24.391,31.671,30.001,32.042,32.100,30.066,30.592,31.696
noiseimage/[test35]_origin_0.20.png,28.789,38.725,35.984,39.034,39.118,36.211,36.754,38.795
noiseimage/[test36]_origin_0.20.png,28.253,36.229,34.654,36.614,36.796,34.884,35.239,36.292
noiseimage/[test37]_origin_0.20.png,27.966,36.828,34.997,37.124,37.240,35.311,35.752,36.846
noiseimage/[test38]_origin_0.20.png,30.166,43.763,39.754,44.209,44.478,40.280,40.791,43.978
noiseimage/[test39]_origin_0.20.png,25.108,30.530,29.191,30.741,30.743,29.271,29.711,30.493
noiseimage/[test40]_origin_0.20.png,24.575,29.032,27.573,29.587,29.591,27.860,28.456,29.610
noiseimage/[test41]_origin_0.20.png,28.073,36.464,34.351,36.799,36.840,34.514,35.042,36.497
noiseimage/[test42]_origin_0.20.png,23.555,31.195,30.651,31.501,31.431,30.660,30.956,31.186
noiseimage/[test43]_origin_0.20.png,24.543,30.919,29.755,31.159,31.171,29.871,30.293,30.989
noiseimage/[test44]_origin_0.20.png,28.137,37.826,35.539,38.247,38.540,35.877,36.533,37.851
noiseimage/[test45]_origin_0.20.png,26.870,34.919,33.154,35.386,35.574,33.414,34.060,34.913
noiseimage/[test46]_origin_0.20.png,18.791,25.654,25.201,25.868,25.915,25.218,25.507,25.771
noiseimage/[test47]_origin_0.20.png,22.217,26.887,25.528,27.213,27.246,25.582,26.188,27.077
noiseimage/[test48]_origin_0.20.png,24.160,31.585,30.501,32.105,32.172,30.605,31.150,31.583
noiseimage/[test49]_origin_0.20.png,28.809,37.277,35.851,37.458,37.563,36.025,36.358,37.367
noiseimage/[test50]_origin_0.20.png,29.215,38.252,37.090,38.540,38.461,37.330,37.602,38.293
noiseimage/[test51]_origin_0.20.png,29.006,38.587,37.184,38.942,38.886,37.476,37.787,38.598
noiseimage/[test52]_origin_0.20.png,30.952,42.721,41.310,43.010,43.047,41.616,41.974,42.742
