image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test07]_origin_0.70.png,9.685,26.623,26.069,26.709,26.744,26.099,26.270,27.289
noiseimage/[test07]_origin_0.80.png,7.703,24.734,25.032,24.751,24.790,25.052,25.178,25.710
noiseimage/[test07]_origin_0.90.png,6.276,22.368,23.378,22.324,22.340,23.378,23.422,23.329
noiseimage/[test08]_origin_0.10.png,32.833,40.433,38.441,40.858,40.976,38.681,39.305,40.408
noiseimage/[test08]_origin_0.20.png,29.015,37.636,35.721,37.993,38.051,35.956,36.382,37.674
noiseimage/[test08]_origin_0.30.png,23.127,35.880,33.644,36.238,36.201,33.813,34.179,35.793
noiseimage/[test08]_origin_0.40.png,18.272,34.220,32.446,34.527,34.510,32.603,32.875,34.314
noiseimage/[test08]_origin_0.50.png,14.926,32.823,31.256,33.099,33.157,31.351,31.614,33.047
noiseimage/[test08]_origin_0.60.png,11.589,31.510,30.386,31.704,31.760,30.456,30.661,31.945
noiseimage/[test08]_origin_0.70.png,9.483,29.428,29.308,29.619,29.715,29.331,29.508,30.502
noiseimage/[test08]_origin_0.80.png,7.557,27.646,27.955,27.686,27.783,27.949,28.055,28.590
noiseimage/[test08]_origin_0.90.png,6.073,26.096,26.928,26.095,26.179,26.927,26.985,27.154
noiseimage/[test09]_origin_0.10.png,27.289,29.794,29.465,29.993,30.013,29.543,29.859,30.572
noiseimage/[test09]_origin_0.20.png,24.985,28.816,28.026,29.104,29.139,28.115,28.490,29.371
noiseimage/[test09]_origin_0.30.png,21.683,27.406,26.599,27.687,27.692,26.663,26.969,27.890
noiseimage/[test09]_origin_0.40.png,17.611,26.425,25.483,26.679,26.717,25.516,25.781,26.794
noiseimage/[test09]_origin_0.50.png,14.723,25.548,24.810,25.786,25.810,24.845,25.065,26.053
noiseimage/[test09]_origin_0.60.png,11.884,24.380,24.011,24.561,24.569,24.011,24.177,24.984
noiseimage/[test09]_origin_0.70.png,9.901,23.325,23.186,23.478,23.505,23.216,23.342,23.941
noiseimage/[test09]_origin_0.80.png,8.144,22.203,22.663,22.275,22.297,22.674,22.759,23.064
noiseimage/[test09]_origin_0.90.png,6.635,20.067,21.238,20.052,20.063,21.235,21.243,20.983
noiseimage/[test10]_origin_0.10.png,22.761,31.321,29.572,31.646,31.737,29.683,30.603,31.323
noiseimage/[test10]_origin_0.20.png,21.045,27.809,26.081,28.157,28.246,26.169,26.821,27.747
noiseimage/[test10]_origin_0.30.png,19.251,26.327,24.714,26.647,26.722,24.790,25.274,26.367
noiseimage/[test10]_origin_0.40.png,16.287,24.845,23.363,25.146,25.217,23.437,23.791,24.887
noiseimage/[test10]_origin_0.50.png,13.916,23.329,22.255,23.518,23.551,22.291,22.547,23.492
noiseimage/[test10]_origin_0.60.png,11.306,22.095,21.329,22.274,22.330,21.358,21.560,22.428
noiseimage/[test10]_origin_0.70.png,9.430,20.603,20.457,20.701,20.738,20.468,20.615,21.172
noiseimage/[test10]_origin_0.80.png,7.659,19.375,19.818,19.407,19.448,19.835,19.937,20.193
noiseimage/[test10]_origin_0.90.png,6.381,17.353,18.359,17.317,17.343,18.376,18.397,18.176
noiseimage/[test11]_origin_0.10.png,33.337,41.633,39.499,42.015,42.367,39.911,40.278,41.596
noiseimage/[test11]_origin_0.20.png,28.036,38.362,36.079,38.742,38.916,36.460,36.775,38.272
noiseimage/[test11]_origin_0.30.png,23.240,35.858,33.927,36.250,36.383,34.262,34.497,35.938
noiseimage/[test11]_origin_0.40.png,18.907,34.260,32.543,34.542,34.644,32.797,32.997,34.347
noiseimage/[test11]_origin_0.50.png,15.502,32.538,31.342,32.800,32.854,31.534,31.708,32.904
noiseimage/[test11]_origin_0.60.png,12.446,31.307,30.380,31.519,31.605,30.500,30.654,31.810
noiseimage/[test11]_origin_0.70.png,10.196,30.058,29.642,30.229,30.365,29.757,29.899,30.833
noiseimage/[test11]_origin_0.80.png,8.342,28.543,28.745,28.636,28.768,28.816,28.921,29.477
noiseimage/[test11]_origin_0.90.png,6.778,25.472,26.710,25.467,25.531,26.724,26.742,26.508
noiseimage/[test12]_origin_0.10.png,26.426,32.163,29.508,32.579,32.637,29.538,30.357,32.069
noiseimage/[test12]_origin_0.20.png,23.987,30.062,27.553,30.473,30.549,27.622,28.186,29.947
noiseimage/[test12]_origin_0.30.png,20.332,28.623,26.233,28.976,29.063,26.311,26.695,28.437
noiseimage/[test12]_origin_0.40.png,16.769,27.194,25.158,27.496,27.590,25.232,25.540,27.138
noiseimage/[test12]_origin_0.50.png,13.955,25.882,24.187,26.156,26.191,24.226,24.474,25.921
noiseimage/[test12]_origin_0.60.png,11.446,24.832,23.493,25.076,25.119,23.545,23.749,24.994
noiseimage/[test12]_origin_0.70.png,9.492,23.387,22.759,23.535,23.567,22.786,22.943,23.769
noiseimage/[test12]_origin_0.80.png,7.488,22.096,22.063,22.168,22.200,22.086,22.194,22.721
noiseimage/[test12]_origin_0.90.png,5.949,19.441,20.545,19.427,19.450,20.558,20.569,20.334
noiseimage/[test13]_origin_0.10.png,29.366,37.697,36.444,38.154,38.355,36.742,37.286,37.698
noiseimage/[test13]_origin_0.20.png,26.059,34.694,33.364,35.158,35.348,33.654,34.080,34.756
noiseimage/[test13]_origin_0.30.png,22.870,32.936,31.527,33.376,33.489,31.750,32.089,32.994
noiseimage/[test13]_origin_0.40.png,18.541,31.402,30.032,31.767,31.819,30.212,30.470,31.500
noiseimage/[test13]_origin_0.50.png,14.511,29.898,28.851,30.213,30.296,28.964,29.184,30.247
noiseimage/[test13]_origin_0.60.png,11.759,28.530,27.902,28.776,28.874,27.997,28.165,29.045
noiseimage/[test13]_origin_0.70.png,9.725,27.113,26.997,27.282,27.374,27.035,27.188,27.904
noiseimage/[test13]_origin_0.80.png,7.855,25.867,26.204,25.974,26.104,26.233,26.337,26.794
noiseimage/[test13]_origin_0.90.png,6.322,23.595,24.676,23.620,23.705,24.730,24.760,24.611
noiseimage/[test14]_origin_0.10.png,31.031,39.238,37.153,39.612,39.641,37.393,38.130,39.243
noiseimage/[test14]_origin_0.20.png,27.555,35.593,33.298,35.914,35.890,33.410,33.967,35.518
noiseimage/[test14]_origin_0.30.png,22.980,33.586,31.259,33.885,33.861,31.329,31.765,33.568
