image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test01]_origin_0.40.png,19.069,33.509,31.439,33.783,33.834,31.579,31.834,33.441
noiseimage/[test02]_origin_0.40.png,18.171,31.467,29.648,31.804,31.958,29.783,30.092,31.521
noiseimage/[test03]_origin_0.40.png,18.606,30.884,29.290,31.142,31.238,29.392,29.681,31.027
noiseimage/[test04]_origin_0.40.png,18.599,32.537,30.798,33.028,33.140,31.114,31.370,33.100
noiseimage/[test05]_origin_0.40.png,18.011,29.861,28.589,30.179,30.211,28.680,28.912,29.902
noiseimage/[test06]_origin_0.40.png,17.925,26.777,25.510,27.035,27.064,25.553,25.786,26.870
noiseimage/[test07]_origin_0.40.png,18.503,31.469,29.400,31.668,31.781,29.527,29.842,31.491
noiseimage/[test08]_origin_0.40.png,18.272,34.220,32.446,34.527,34.510,32.603,32.875,34.314
noiseimage/[test09]_origin_0.40.png,17.611,26.425,25.483,26.679,26.717,25.516,25.781,26.794
noiseimage/[test10]_origin_0.40.png,16.287,24.845,23.363,25.146,25.217,23.437,23.791,24.887
noiseimage/[test11]_origin_0.40.png,18.907,34.260,32.543,34.542,34.644,32.797,32.997,34.347
noiseimage/[test12]_origin_0.40.png,16.769,27.194,25.158,27.496,27.590,25.232,25.540,27.138
noiseimage/[test13]_origin_0.40.png,18.541,31.402,30.032,31.767,31.819,30.212,30.470,31.500
noiseimage/[test14]_origin_0.40.png,18.757,32.372,30.220,32.663,32.624,30.292,30.652,32.444
noiseimage/[test15]_origin_0.40.png,17.407,25.513,23.882,25.809,25.813,23.908,24.321,25.475
noiseimage/[test16]_origin_0.40.png,18.885,28.603,27.256,28.873,28.882,27.352,27.514,28.479
noiseimage/[test17]_origin_0.40.png,18.786,31.671,29.291,32.083,32.246,29.528,29.930,31.828
noiseimage/[test18]_origin_0.40.png,18.985,35.861,33.563,36.206,36.260,33.718,33.988,35.800
noiseimage/[test19]_origin_0.40.png,17.577,27.768,25.742,28.136,28.129,25.811,26.211,27.869
noiseimage/[test20]_origin_0.40.png,18.619,30.925,28.232,31.278,31.356,28.367,28.806,30.854
noiseimage/[test21]_origin_0.40.png,18.532,30.637,28.675,31.015,30.921,28.810,29.130,30.497
noiseimage/[test22]_origin_0.40.png,17.996,27.387,25.661,27.709,27.705,25.722,26.049,27.503
noiseimage/[test23]_origin_0.40.png,18.375,33.034,31.820,33.303,33.416,32.066,32.287,33.355
noiseimage/[test24]_origin_0.40.png,18.198,28.745,27.248,29.086,29.130,27.327,27.629,29.076
noiseimage/[test25]_origin_0.40.png,18.597,35.109,34.127,35.411,35.436,34.154,34.291,35.188
noiseimage/[test26]_origin_0.40.png,16.256,24.290,22.356,24.586,24.607,22.423,22.785,24.146
noiseimage/[test27]_origin_0.40.png,18.007,30.254,27.597,30.633,30.701,27.691,28.098,30.264
noiseimage/[test28]_origin_0.40.png,16.978,25.538,24.544,25.963,26.038,24.628,24.899,25.718
noiseimage/[test29]_origin_0.40.png,18.860,33.040,31.485,33.302,33.290,31.589,31.824,33.163
noiseimage/[test30]_origin_0.40.png,18.032,27.786,25.131,28.151,28.149,25.194,25.719,27.610
noiseimage/[test31]_origin_0.40.png,18.856,30.008,28.086,30.344,30.225,28.203,28.481,30.115
noiseimage/[test32]_origin_0.40.png,17.599,28.660,27.094,29.013,29.013,27.175,27.531,28.708
noiseimage/[test33]_origin_0.40.png,17.607,32.796,31.440,33.193,33.277,31.673,31.853,33.228
noiseimage/[test34]_origin_0.40.png,17.718,28.210,26.696,28.511,28.541,26.747,27.078,28.295
noiseimage/[test35]_origin_0.40.png,17.722,34.726,32.348,35.020,35.052,32.537,32.924,35.074
noiseimage/[test36]_origin_0.40.png,18.801,32.513,31.123,32.837,32.945,31.302,31.561,32.777
noiseimage/[test37]_origin_0.40.png,18.969,33.566,31.801,33.810,33.878,32.017,32.326,33.666
noiseimage/[test38]_origin_0.40.png,18.934,39.239,36.047,39.564,39.535,36.472,36.885,39.780
noiseimage/[test39]_origin_0.40.png,17.810,28.182,26.578,28.409,28.388,26.632,26.962,28.169
noiseimage/[test40]_origin_0.40.png,17.766,26.563,25.377,26.921,26.932,25.540,25.861,27.005
noiseimage/[test41]_origin_0.40.png,18.501,32.851,30.983,33.129,33.113,31.073,31.403,33.020
noiseimage/[test42]_origin_0.40.png,17.725,27.698,27.242,27.936,27.897,27.312,27.467,27.765
noiseimage/[test43]_origin_0.40.png,17.925,27.824,26.805,28.043,28.047,26.868,27.128,28.004
noiseimage/[test44]_origin_0.40.png,17.955,33.760,31.591,34.089,34.232,31.780,32.202,33.991
noiseimage/[test45]_origin_0.40.png,18.718,31.415,29.697,31.786,31.883,29.856,30.225,31.490
noiseimage/[test46]_origin_0.40.png,15.315,22.259,21.952,22.436,22.490,21.964,22.149,22.550
noiseimage/[test47]_origin_0.40.png,16.862,24.479,23.121,24.787,24.817,23.165,23.536,24.660
noiseimage/[test48]_origin_0.40.png,17.724,27.946,26.468,28.360,28.398,26.512,26.908,28.006
noiseimage/[test49]_origin_0.40.png,18.660,33.555,32.352,33.721,33.794,32.467,32.694,33.850
noiseimage/[test50]_origin_0.40.png,19.432,34.761,33.773,34.981,34.964,33.904,34.069,34.888
noiseimage/[test51]_origin_0.40.png,19.505,35.101,33.832,35.382,35.350,34.013,34.217,35.258
noiseimage/[test52]_origin_0.40.png,19.171,38.780,37.418,39.017,39.055,37.557,37.824,39.043
