image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test01]_origin_0.10.png,32.612,40.701,38.464,41.165,41.425,38.805,39.352,40.739
noiseimage/[test02]_origin_0.10.png,29.726,37.604,36.039,38.001,38.331,36.308,36.814,37.584
noiseimage/[test03]_origin_0.10.png,29.610,37.583,35.844,37.921,38.291,36.090,36.657,37.455
noiseimage/[test04]_origin_0.10.png,33.190,35.048,34.394,35.800,35.925,35.036,35.276,36.149
noiseimage/[test05]_origin_0.10.png,28.380,35.966,35.081,36.394,36.430,35.193,35.622,36.010
noiseimage/[test06]_origin_0.10.png,25.692,30.567,29.417,30.799,30.798,29.460,29.886,30.618
noiseimage/[test07]_origin_0.10.png,31.478,38.724,36.610,38.970,39.220,36.851,37.405,38.607
noiseimage/[test08]_origin_0.10.png,32.833,40.433,38.441,40.858,40.976,38.681,39.305,40.408
noiseimage/[test09]_origin_0.10.png,27.289,29.794,29.465,29.993,30.013,29.543,29.859,30.572
noiseimage/[test10]_origin_0.10.png,22.761,31.321,29.572,31.646,31.737,29.683,30.603,31.323
noiseimage/[test11]_origin_0.10.png,33.337,41.633,39.499,42.015,42.367,39.911,40.278,41.596
noiseimage/[test12]_origin_0.10.png,26.426,32.163,29.508,32.579,32.637,29.538,30.357,32.069
noiseimage/[test13]_origin_0.10.png,29.366,37.697,36.444,38.154,38.355,36.742,37.286,37.698
noiseimage/[test14]_origin_0.10.png,31.031,39.238,37.153,39.612,39.641,37.393,38.130,39.243
noiseimage/[test15]_origin_0.10.png,24.004,31.364,29.156,31.780,31.808,29.217,30.601,31.319
noiseimage/[test16]_origin_0.10.png,27.973,31.676,30.372,31.970,31.933,30.393,30.741,31.681
noiseimage/[test17]_origin_0.10.png,30.376,38.745,36.044,39.186,39.572,36.429,37.243,38.722
noiseimage/[test18]_origin_0.10.png,34.299,42.521,39.905,43.036,43.332,40.245,40.716,42.458
noiseimage/[test19]_origin_0.10.png,26.691,33.075,30.997,33.503,33.536,31.114,32.099,33.427
noiseimage/[test20]_origin_0.10.png,30.466,36.252,33.450,36.655,36.794,33.614,34.669,36.306
noiseimage/[test21]_origin_0.10.png,29.218,36.480,34.899,36.950,36.916,35.048,35.830,36.496
noiseimage/[test22]_origin_0.10.png,27.292,31.946,29.593,32.296,32.302,29.674,30.537,32.112
noiseimage/[test23]_origin_0.10.png,32.501,39.155,38.103,39.470,39.660,38.410,38.732,39.195
noiseimage/[test24]_origin_0.10.png,29.213,34.044,32.382,34.465,34.546,32.541,33.227,34.429
noiseimage/[test25]_origin_0.10.png,33.583,41.323,40.517,41.649,41.637,40.657,40.847,41.357
noiseimage/[test26]_origin_0.10.png,22.492,29.795,27.389,30.198,30.242,27.474,28.451,29.728
noiseimage/[test27]_origin_0.10.png,29.727,35.577,32.447,36.081,36.235,32.550,33.582,35.568
noiseimage/[test28]_origin_0.10.png,23.474,32.057,31.518,32.616,32.780,31.689,32.116,32.115
noiseimage/[test29]_origin_0.10.png,31.800,39.470,37.973,39.781,39.816,38.203,38.668,39.479
noiseimage/[test30]_origin_0.10.png,26.714,33.056,30.103,33.488,33.527,30.195,31.753,33.057
noiseimage/[test31]_origin_0.10.png,29.214,34.758,31.954,35.147,35.021,32.040,32.863,34.971
noiseimage/[test32]_origin_0.10.png,26.377,35.350,33.559,35.805,35.856,33.698,34.678,35.336
noiseimage/[test33]_origin_0.10.png,35.264,39.503,37.633,40.039,40.241,38.014,38.191,39.604
noiseimage/[test34]_origin_0.10.png,26.413,35.180,33.575,35.604,35.648,33.678,34.437,35.254
noiseimage/[test35]_origin_0.10.png,33.579,42.166,39.433,42.527,42.625,39.644,40.353,42.313
noiseimage/[test36]_origin_0.10.png,31.843,38.765,37.452,39.146,39.375,37.696,38.127,38.773
noiseimage/[test37]_origin_0.10.png,32.124,40.077,38.301,40.387,40.477,38.588,39.193,40.016
noiseimage/[test38]_origin_0.10.png,39.188,47.559,43.165,48.021,48.364,43.824,44.443,47.658
noiseimage/[test39]_origin_0.10.png,27.307,32.092,31.278,32.247,32.265,31.360,31.754,32.089
noiseimage/[test40]_origin_0.10.png,26.467,30.725,29.264,31.404,31.432,29.630,30.480,31.531
noiseimage/[test41]_origin_0.10.png,32.022,40.014,37.910,40.369,40.434,38.150,38.841,40.037
noiseimage/[test42]_origin_0.10.png,24.810,34.255,33.953,34.582,34.518,33.938,34.259,34.250
noiseimage/[test43]_origin_0.10.png,26.119,33.299,32.287,33.506,33.541,32.422,32.917,33.379
noiseimage/[test44]_origin_0.10.png,32.184,40.988,39.017,41.446,41.780,39.370,40.196,40.973
noiseimage/[test45]_origin_0.10.png,29.585,38.061,36.578,38.553,38.820,36.920,37.741,38.083
noiseimage/[test46]_origin_0.10.png,19.678,28.798,28.361,29.024,29.063,28.384,28.719,28.852
noiseimage/[test47]_origin_0.10.png,23.993,28.620,27.408,28.903,28.932,27.452,28.204,28.872
noiseimage/[test48]_origin_0.10.png,25.911,34.501,34.167,35.043,35.135,34.377,34.801,34.501
noiseimage/[test49]_origin_0.10.png,32.939,40.578,39.060,40.800,40.921,39.271,39.734,40.583
noiseimage/[test50]_origin_0.10.png,32.105,41.278,40.214,41.568,41.500,40.469,40.815,41.296
noiseimage/[test51]_origin_0.10.png,32.571,41.751,40.464,42.110,42.042,40.815,41.188,41.762
noiseimage/[test52]_origin_0.10.png,36.471,45.920,44.782,46.236,46.278,45.104,45.485,45.909
